Rnk Team                         WON LOST   PF   PA     RATE      SOS
--- ----                         --- ----  ---  ---  -------  -------
364 23   Ohio U.                   0    0    0    0      nan      nan (2113)
365 23   Olivet                    0    0    0    0      nan      nan (2112)
366 23   Oregon                    0    0    0    0      nan      nan (2111)
367 23   Principia                 0    0    0    0      nan      nan (2110)
368 23   Purdue                    0    0    0    0      nan      nan (2109)
369 23   Rice                      0    0    0    0      nan      nan (2108)
370 23   S. Oregon                 0    0    0    0      nan      nan (2107)
371 23   Sam Houston St.           0    0    0    0      nan      nan (2106)
372 23   Trinity, Conn.            0    0    0    0      nan      nan (2105)
373 23   Utah                      0    0    0    0      nan      nan (2104)
374 23   Washington                0    0    0    0      nan      nan (2103)
375 23   Willamette                0    0    0    0      nan      nan (2102)
376 23   Wingate                   0    0    0    0      nan      nan (2101)
377 23   Wisconsin                 0    0    0    0      nan      nan (2100)
378 24   Adrian                    0    0    0    0      nan      nan (2099)
379 24   Baker                     0    0    0    0      nan      nan (2098)
380 24   Baylor                    0    0    0    0      nan      nan (2097)
381 24   Bluffton                  0    0    0    0      nan      nan (2096)
382 24   Bowie St.                 0    0    0    0      nan      nan (2095)
383 24   Bucknell                  0    0    0    0      nan      nan (2094)
384 24   Butler                    0    0    0    0      nan      nan (2093)
385 24   Carleton                  0    0    0    0      nan      nan (2092)
386 24   Cent. Michigan            0    0    0    0      nan      nan (2091)
387 24   Central Conn. St.         0    0    0    0      nan      nan (2090)
388 24   Centre                    0    0    0    0      nan      nan (2089)
389 24   Charleston So.            0    0    0    0      nan      nan (2088)
390 24   Cheyney                   0    0    0    0      nan      nan (2087)
391 24   Chowan                    0    0    0    0      nan      nan (2086)
392 24   Cincinnati                0    0    0    0      nan      nan (2085)
393 24   Claremont-Mudd            0    0    0    0      nan      nan (2084)
394 24   Concord                   0    0    0    0      nan      nan (2083)
395 24   Concordia, St.P.          0    0    0    0      nan      nan (2082)
396 24   Dartmouth                 0    0    0    0      nan      nan (2081)
397 24   DePauw                    0    0    0    0      nan      nan (2080)
398 24   Delaware Val.             0    0    0    0      nan      nan (2079)
399 24   Doane                     0    0    0    0      nan      nan (2078)
400 24   E. Kentucky               0    0    0    0      nan      nan (2077)
401 24   Edinboro                  0    0    0    0      nan      nan (2076)
402 24   Fordham                   0    0    0    0      nan      nan (2075)
403 24   Franklin                  0    0    0    0      nan      nan (2074)
404 24   Fresno St.                0    0    0    0      nan      nan (2073)
405 24   Frostburg St.             0    0    0    0      nan      nan (2072)
406 24   Georgetown, D.C.          0    0    0    0      nan      nan (2071)
407 24   Guilford                  0    0    0    0      nan      nan (2070)
408 24   Hamilton                  0    0    0    0      nan      nan (2069)
409 24   Hampden-Sydney            0    0    0    0      nan      nan (2068)
410 24   Hawaii                    0    0    0    0      nan      nan (2067)
411 24   Hillsdale                 0    0    0    0      nan      nan (2066)
412 24   Illinois                  0    0    0    0      nan      nan (2065)
413 24   Iowa                      0    0    0    0      nan      nan (2064)
414 24   Jamestown                 0    0    0    0      nan      nan (2063)
415 24   Juniata                   0    0    0    0      nan      nan (2062)
416 24   Kean                      0    0    0    0      nan      nan (2061)
417 24   Kentucky                  0    0    0    0      nan      nan (2060)
418 24   Liberty                   0    0    0    0      nan      nan (2059)
419 24   Louisiana-Monroe          0    0    0    0      nan      nan (2058)
420 24   Mac Murray                0    0    0    0      nan      nan (2057)
421 24   Mansfield                 0    0    0    0      nan      nan (2056)
422 24   Marantha Baptist          0    0    0    0      nan      nan (2055)
423 24   Mars Hill                 0    0    0    0      nan      nan (2054)
424 24   Mass.-Lowell              0    0    0    0      nan      nan (2053)
425 24   Missouri Southern         0    0    0    0      nan      nan (2052)
426 24   N. Carolina St.           0    0    0    0      nan      nan (2051)
427 24   New Mexico                0    0    0    0      nan      nan (2050)
428 24   Nichols                   0    0    0    0      nan      nan (2049)
429 24   Oklahoma St.              0    0    0    0      nan      nan (2048)
430 24   Penn St.                  0    0    0    0      nan      nan (2047)
431 24   Pittsburgh                0    0    0    0      nan      nan (2046)
432 24   Princeton                 0    0    0    0      nan      nan (2045)
433 24   Richmond                  0    0    0    0      nan      nan (2044)
434 24   Rose-Hulman               0    0    0    0      nan      nan (2043)
435 24   S. Dakota Mines           0    0    0    0      nan      nan (2042)
436 24   Sacramento St.            0    0    0    0      nan      nan (2041)
437 24   Salve Regina              0    0    0    0      nan      nan (2040)
438 24   Samford                   0    0    0    0      nan      nan (2039)
439 24   Simpson, Iowa             0    0    0    0      nan      nan (2038)
440 24   Sioux Falls               0    0    0    0      nan      nan (2037)
441 24   St. John Fisher           0    0    0    0      nan      nan (2036)
442 24   St. Peter's               0    0    0    0      nan      nan (2035)
443 24   St. Thomas, Minn.         0    0    0    0      nan      nan (2034)
444 24   Texas A&M                 0    0    0    0      nan      nan (2033)
445 24   Tusculum                  0    0    0    0      nan      nan (2032)
446 24   Utah                      0    0    0    0      nan      nan (2031)
447 24   Wartburg                  0    0    0    0      nan      nan (2030)
448 24   Washington St.            0    0    0    0      nan      nan (2029)
449 24   Wayne, Neb.               0    0    0    0      nan      nan (2028)
450 24   West Chester              0    0    0    0      nan      nan (2027)
451 24   Whitworth                 0    0    0    0      nan      nan (2026)
452 24   Wm. Paterson              0    0    0    0      nan      nan (2025)
453 24   Yale                      0    0    0    0      nan      nan (2024)
454 25   Alma                      0    0    0    0      nan      nan (2023)
455 25   Bridgewater,Mass.         0    0    0    0      nan      nan (2022)
456 25   California                0    0    0    0      nan      nan (2021)
457 25   Cincinnati                0    0    0    0      nan      nan (2020)
458 25   Concordia, Ill.           0    0    0    0      nan      nan (2019)
459 25   Grinnell                  0    0    0    0      nan      nan (2018)
460 25   Kean                      0    0    0    0      nan      nan (2017)
461 25   Ohio U.                   0    0    0    0      nan      nan (2016)
462 25   Penn St.                  0    0    0    0      nan      nan (2015)
463 25   Princeton                 0    0    0    0      nan      nan (2014)
464 25   Trinity, Tex.             0    0    0    0      nan      nan (2013)
